"Title","Author","indivauthor","Publication","Type","Year"
"The numbers still don't add up for many skeptical NHL players; Jets star Scheifele dismisses the merits of analytics as just 'a bunch of hogwash'","Stinson, Scott","Y","Sault Star","News",2021
"A human science; In this age of analytics and measurables, there remains something refreshingly imprecise about scouting. it's something that resists the cold science and rewards the art","Willes, Ed","Y","The Gazette","News",2013
"Math whiz Chu running the numbers for Kraken; NHL's new team takes on sports fanatic from Burnaby for his analytics expertise","Kuzma, Ben","Y","The Vancouver Sun","News",2020
"For some, analytics don't add up; But old-school Leafs are taking a leap of faith","Hickey, Pat","Y","Edmonton Journal","News",2014
"'I think information is power'; Part 2 of 3: Video, analytics programs offer a new way to see the game","Smith, Cory","Y","The Beacon Herald","News",2020
"Analytics show Oilers are losing on defence, defence, defence; Goalies and D-men have struggled so far this season, says William Hanson","William Hanson","Y","Edmonton Journal","News",2017
"Analytics important, but habs also need players like perry; Veteran made a difference in last season's playoff run, now he's inspiring Lightning","Cowan, Stu","Y","Montreal Gazette","News",2021
"Strength in numbers ; Leafs continue analytics revolution with additions of three more fancy-stats proponents to front office","Hornby, Lance","Y","The Toronto Sun","News",2014
"The Selke debate is one that analytics can help solve ...Bergeron looking likely to repeat ... Toews and Kopitar also in themix ... Centres dominate trophy talk ...Ovie racking up goals","MATISZ, JOHN","Y","The Toronto Sun","News",2015
"Willie plans to keep the Sedins fresh; quick change artist","Jamieson, Jim","Y","The Province","News",2014
"Can't measure a team by its points: Use Winning percentage","Jones, Chris","Y","National Post","News",1998
"Canucks lead way with analytics; It's not quite Moneyball, but Vancouver has used evaluative stats to boost personnel","Charron, Cam","Y","The Province","News",2013
"Revamped NHL website to track enhanced stats","Dingman, Shane","Y","The Globe and Mail","News",2015
"Only one number matters; Moral victories not going to get the Jets very far","Stinson, Scott","Y","National Post","News",2015
"Numbers speak well for Senators: Offence in high gear","Warren, Ken","Y","National Post","News",2004
"Maple Leafs up the analytics ante in front office ; NHL: Darryl Metcalf and Cam Charron are part of a new trend evident in sport scouting and coaching strategy and fit well with new assistant GM Kyle Dubas","Hornby, Lance","Y","The London Free Press","News",2014
"Why the numbers lied; The Senators were the darlings of the analytics set prior to the start of this season, projected to challenge the elite teams in the Eastern Conference. Breaks the stats down to figure out why it hasn't turned out that way","Nichols, Graeme","Y","The Ottawa Citizen","News",2013
"Only one number matters to Jets; Moral victories not going to get team very far","Stinson, Scott","Y","National Post","News",2015
"Dubas, 28, brings a new way of thinking to the Leafs","McGran, Kevin","Y","The Guelph Mercury","News",2014
"Leafs big losers in the Moneyball game, too","Morgan Campbell","Y","The Spectator","News",2012
"Leafs keep defying numbers in solid start; Goaltending of Bernier, Reimer saving Toronto's cause","Fitz-Gerald, Sean","Y","The Ottawa Citizen","News",2013
"Greatness doesn't show up in the score","Stevenson, Ben","Y","Niagara Falls Review","News",2006
"Assists should only be earned, not simply gained by accident","Kay, Jason","Y","Prince Albert Daily Herald","News",2003
"Don't mess with math; When it comes to statistical trends in sports, random events are just par for the course","Stinson, Scott","Y","National Post","News",2014
"Jim Corsi's more than just a number; Goalie coach's shot measure has been hijacked by stats fanatics","MacKinnon, John","Y","Edmonton Journal","News",2014
"Burke doesn't need stats to see his team's flaws","Hickey, Pat","Y","The Gazette","News",2012
"How much does an NHLer really contribute toward a victory?; New shots-on-net analysis can help tell the story about exactly who plays a key role game after game","Staples, David","Y","Edmonton Journal","News",2011
"Not all NHLers ready to embrace the math","Hickey, Pat","Y","The Ottawa Citizen","News",2014
"Outgunned Leafs defying the odds; Numbers game","Fitz-Gerald, Sean","Y","The Province","News",2013
