"Title","Author","indivauthor","Publication","Type","Year"
"An investigation into performances of novice field-hockey players' fundamental game skills when performed on natural and artificial grass surfaces","Slade, DG; Cochrane, DJ","Y","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING","Research",2024
"Meta-analytics: tools for understanding the statistical properties of sports metrics","Franks, AM; D'Amour, A; Cervone, D; Bornn, L","Y","JOURNAL OF QUANTITATIVE ANALYSIS IN SPORTS","Research",2016
"Analysis of player actions in selected hockey game situations","Li, FH; Woodham, RJ","Y","2ND CANADIAN CONFERENCE ON COMPUTER AND ROBOT VISION, PROCEEDINGS","Research",2005
"A Comparative Analysis of Accelerometer and Time-Motion Data in Elite Men's Hockey Training and Competition","Polglaze, T; Dawson, B; Hiscock, DJ; Peeling, P","Y","INTERNATIONAL JOURNAL OF SPORTS PHYSIOLOGY AND PERFORMANCE","Research",2015
"Effects of Heavy Versus Regular Puck Training on Shooting Velocity in Junior Ice Hockey Players","Roczniok, R; Wisniewski, P; Zielonka, H; Polewka, M; Manilewska, D; Urantówka, A; Praszczyk, M; Terbalyan, A","Y","APPLIED SCIENCES-BASEL","Research",2026
"Tracking and Identification of Ice Hockey Players","Chen, Q; Poullis, C","Y","COMPUTER VISION SYSTEMS, ICVS 2023","Research",2023
"Applying decision tree induction for identification of important attributes in one-versus-one player interactions: A hockey exemplar","Morgan, S; Williams, MD; Barnes, C","Y","JOURNAL OF SPORTS SCIENCES","Research",2013
"The Hockey Assist Makes the Difference-Validation of a Defensive Disruptiveness Model to Evaluate Passing Sequences in Elite Soccer","Forcher, L; Kempe, M; Altmann, S; Forcher, L; Woll, A","Y","ENTROPY","Research",2021
"Overtime in the National Hockey League: Is it a valid tie-breaking procedure?","LIU, YL; SCHUTZ, RW","Y","AMERICAN STATISTICAL ASSOCIATION 1994 PROCEEDINGS OF THE SECTION ON THE STATISTICS IN SPORTS","Research",1994
"The Science of Hockey: The Math, Technology, and Data Behind the Sport","Zulfaidil; Gusti, UA; Azzahra, W; Rachmaputri, G","Y","TECHNOMETRICS","Research",2024
"International performance level in adult ice hockey: The role of the talent environment in youth","Lenze, L; Zibung, M; Zuber, C; Stegmann, P; Conzelmann, A","Y","JOURNAL OF SPORTS SCIENCES","Research",2023
"Video analysis of hockey play in selected game situations","Li, FH; Woodham, RJ","Y","IMAGE AND VISION COMPUTING","Research",2009
"Perceived competence in ice hockey and its associations with relative age, early sport specialization, and players' position","Pelletier, VH; Lemoyne, J","Y","FRONTIERS IN PSYCHOLOGY","Research",2024
"Interpreting Deep Sports Analytics: Valuing Actions and Players in the NHL","Liu, GL; Zhu, W; Schulte, O","Y","MACHINE LEARNING AND DATA MINING FOR SPORTS ANALYTICS, MLSA 2018","Research",2019
"Lessons from Sports Statistics","Mosteller, F","Y","ANTHOLOGY OF STATISTICS IN SPORTS","Research",2005
"Valuation of NHL draft picks using functional data analysis","Moreau, R; Perera, H; Swartz, TB","Y","JOURNAL OF SPORTS ANALYTICS","Research",2025
"Home Advantage in Ice Hockey Matches without Spectators","Marek, P; Vávra, F","Y","AUSTRIAN JOURNAL OF STATISTICS","Research",2024
"Automated detection of physical contact events in youth ice hockey: a player-centric deep learning approach","Azadi, A; Dehghan, P; Hussein, RMAH; Karton, C; Fraser, M; Laganière, R; Graham, RB; Hoshizaki, TB","Y","SCIENTIFIC REPORTS","Research",2026
"Late-game reversals in professional basketball, football, and hockey","Gill, PS","Y","AMERICAN STATISTICIAN","Research",2000
"Prediction of Tiers in the Ranking of Ice Hockey Players","Persson, TL; Kozlica, H; Carlsson, N; Lambrix, P","Y","MACHINE LEARNING AND DATA MINING FOR SPORTS ANALYTICS, MLSA 2020","Research",2020
"The Technical Skills of Rink Hockey Goalkeeper in Direct Free Hit","Taña, GT; Daza, G; Riera, J","Y","RETOS-NUEVAS TENDENCIAS EN EDUCACION FISICA DEPORTE Y RECREACION","Research",2019
"NHL aging curves using functional principal component analysis","Cavan, E; Cao, JG; Swartz, TB","Y","JOURNAL OF QUANTITATIVE ANALYSIS IN SPORTS","Research",2025
"Ice hockey player identification via transformers and weakly supervised learning","Vats, K; McNally, W; Walters, P; Clausi, DA; Zelek, JS","Y","2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION WORKSHOPS, CVPRW 2022","Research",2022
"Visor use among National Hockey League players and its relationship to on-ice performance","Micieli, R; Micieli, JA","Y","INJURY PREVENTION","Research",2016
"Age effects in NHL draftees: a data-driven review of a multi-dimensional concept","Wang, YR; Csiernik, B; Johnston, K; Baker, J","Y","FRONTIERS IN SPORTS AND ACTIVE LIVING","Research",2025
"Improving NHL draft outcome predictions using scouting reports","Luo, H","Y","JOURNAL OF QUANTITATIVE ANALYSIS IN SPORTS","Research",2024
"Examination of birthplace and birthdate in world junior ice hockey players","Bruner, MW; Macdonald, DJ; Pickett, W; Côté, J","Y","JOURNAL OF SPORTS SCIENCES","Research",2011
"A comparison of shot selection and goal scoring between collegiate and professional women's and men's ice hockey","Csiernik, B; Cavell, M; Nauboris, K; Wattie, N","Y","FRONTIERS IN SPORTS AND ACTIVE LIVING","Research",2025
"The relative age effect reversal among the National Hockey League elite","Fumarco, L; Gibbs, BG; Jarvis, JA; Rossi, G","Y","PLOS ONE","Research",2017
"Three-dimensional analysis of blade contact in an ice hockey slap shot, in relation to player skill","Lomond, KV; Turcotte, RA; Pearsall, DJ","Y","SPORTS ENGINEERING","Research",2007
"Who won the 1996 NHL plus-minus award? (Or is hockey's plus/minus a team statistic?)","Williams, B; Williams, D","Y","AMERICAN STATISTICAL ASSOCIATION - 1996 PROCEEDINGS OF THE SECTION ON STATISTICS IN SPORTS","Research",1996
"Statistical Methods for Rating College Hockey Teams","Danehy, TJ; Lock, RH","Y","ANTHOLOGY OF STATISTICS IN SPORTS","Research",2005
"King-Devick test normative reference values for professional male ice hockey players","Vartiainen, MV; Holm, A; Peltonen, K; Luoto, TM; Iverson, GL; Hokkanen, L","Y","SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS","Research",2015
"Relative age effects and player pathways in international ice hockey: a longitudinal multi-cohort analysis","Lemoyne, J; Bespomoshchnov, VA; Saarinen, M","Y","FRONTIERS IN PSYCHOLOGY","Research",2025
"Game Intensity Analysis of Elite Adolescent Ice Hockey Players","Stanula, A; Roczniok, R","Y","JOURNAL OF HUMAN KINETICS","Research",2014
"Female relative age effects and the second-quartile phenomenon in young female ice hockey players","Hancock, DJ","Y","PSYCHOLOGY OF SPORT AND EXERCISE","Research",2017
"Key frame extraction based on global motion statistics for team-sport videos","Yuan, Y; Lu, Z; Yang, Z; Jian, M; Wu, LF; Li, ZY; Liu, X","Y","MULTIMEDIA SYSTEMS","Research",2022
"A historical examination of relative age effects in Canadian hockey players","Wattie, N; Baker, J; Cobley, S; Montelpare, WJ","Y","INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY","Research",2007
"The specialization of informal social control in a selective community: Fighting in the National Hockey League from 1947 to 2019","Sirianni, AD","Y","RATIONALITY AND SOCIETY","Research",2023
"Determining the Sport Level of the Players in Ice Hockey Using Multivariate Analysis","Roczniok, R; Zajac, A; Maszczyk, A; Golas, A; Pietraszewski, P; Rutkowski, L; Wisniewski, P; Kozlowski, K","Y","4TH INTERNATIONAL CONGRESS OF PHYSICAL EDUCATION, SPORT AND KINETOTHERAPY (ICPESK 2014)","Research",2015
"The National Hockey League Entry Draft, 1969-1995: An application of a weighted pool-adjacent-violators algorithm","Dawson, D; Magee, L","Y","AMERICAN STATISTICIAN","Research",2001
"Identifying Key Training Load and Intensity Indicators in Ice Hockey Using Unsupervised Machine Learning","Rago, V; Fernandes, T; Mohr, M","Y","RESEARCH QUARTERLY FOR EXERCISE AND SPORT","Research",2025
"Associations between time zone changes, travel distance and performance: A retrospective analysis of 2013-2020 National Hockey League Data","Charest, J; Cook, JD; Bender, AM; Walch, O; Grandner, MA; Samuels, CH","Y","JOURNAL OF SCIENCE AND MEDICINE IN SPORT","Research",2022
"RELATIONSHIP BETWEEN SKATING ECONOMY AND PERFORMANCE DURING A REPEATED-SHIFT TEST IN ELITE AND SUBELITE ICE HOCKEY PLAYERS","Lamoureux, NR; Tomkinson, GR; Peterson, BJ; Fitzgerald, JS","Y","JOURNAL OF STRENGTH AND CONDITIONING RESEARCH","Research",2018
"A Novel Approach to Use a Cost Function to Analyse Ice Skating Characteristics and to Generate Player-Specific Skating Drills in Ice Hockey","Swarén, M; Nyström, A; Born, DP; Björklund, G","Y","9TH INTERNATIONAL PERFORMANCE ANALYSIS WORKSHOP AND CONFERENCE & 5TH IACSS CONFERENCE","Research",2022
"Are Canadian-born Major League Baseball players more likely to bat left-handed? A partial test of the hockey-influence on batting hypothesis","Cairney, J; Chirico, D; Li, YC; Bremer, E; Graham, JD","Y","PLOS ONE","Research",2018
"Analysis of goal scoring opportunities in elite male ice hockey in relation to tactical and contextual variables","Lignell, E; Rago, V; Mohr, M","Y","INTERNATIONAL JOURNAL OF PERFORMANCE ANALYSIS IN SPORT","Research",2020
"Model Trees for Identifying Exceptional Players in the NHL and NBA Drafts","Liu, YJ; Schulte, O; Li, C","Y","MACHINE LEARNING AND DATA MINING FOR SPORTS ANALYTICS, MLSA 2018","Research",2019
"Game Demands of a Professional Ice Hockey Team with Special Emphasis on Fatigue Development and Playing Position","Rago, V; Muschinsky, A; Deylami, K; Vigh-Larsen, JF; Mohr, M","Y","JOURNAL OF HUMAN KINETICS","Research",2022
"Sinister right-handedness provides Canadian-born Major League Baseball players with an offensive advantage: A further test of the hockey influence on batting hypothesis","Brown, DM; Poucher, ZA; Myers, M; Graham, JD; Cairney, J","Y","PLOS ONE","Research",2019
"Adjusted Plus-Minus for NHL Players using Ridge Regression with Goals, Shots, Fenwick, and Corsi","Macdonald, B","Y","JOURNAL OF QUANTITATIVE ANALYSIS IN SPORTS","Research",2012
"Analyses of the impact of laterality on performances in the National Hockey League based on players' position and origin","Grondin, S; Rioux, PA; Fortin-Guichard, D","Y","SCIENTIFIC REPORTS","Research",2024
"Multi-task Learning for Jersey Number Recognition in Ice Hockey","Vats, K; Fani, M; Clausi, DA; Zelek, J","Y","PROCEEDINGS OF THE 4TH ACM INTERNATIONAL WORKSHOP ON MULTIMEDIA CONTENT ANALYSIS IN SPORTS, MMSPORTS 2021","Research",2021
"Relationship between Acceleration Profiles and Game Statistics among Members of a National U18 Ice-Hockey Team","Burke, K; Erps, DJ; Stojanov, D; Burke, DJ; Workman, A; Martel, K; McGregor, SJ","Y","MEDICINE AND SCIENCE IN SPORTS AND EXERCISE","Research",2018
"Using 3D Motion Capture to Analyse Ice Hockey Shooting Technique on Ice","Swarén, M; Söhnlein, Q; Stöggl, T; Björklund, G","Y","ICSPORTS: PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE ON SPORT SCIENCES RESEARCH AND TECHNOLOGY SUPPORT","Research",2019
"Heterogeneity in Community Size Effects: Exploring Variations in the Production of National Hockey League Draftees Between Canadian Cities","Farah, L; Schorer, J; Baker, J; Wattie, N","Y","FRONTIERS IN PSYCHOLOGY","Research",2019
"Revisiting the empirical model Phases in the junior-to-senior transition of Swedish ice hockey players': External validation through focus groups and interviews","Pehrson, S; Stambulova, NB; Olsson, K","Y","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING","Research",2017
"New Insights Involving the Home Team Advantage","Swartz, TB; Arce, A","Y","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING","Research",2014
"IMPROVING THE JUDGMENT OF PROFESSIONAL SPORTS MANAGERS BY USING SYSTEMATIC OBSERVATION OF A REAL-TIME PROCESS AND CREATING BETTER GAME STATISTICS (THE CASE OF NHL HOCKEY)","BALTHAZARD, PA; LEONARD, KJ","Y","COMPUTING SCIENCE AND STATISTICS : VOL 24: GRAPHICS AND VISUALIZATION","Research",1992
"Statistical Evaluation of Ice Hockey Goaltending","Schuckers, ME","Y","HANDBOOK OF STATISTICAL METHODS AND ANALYSES IN SPORTS","Research",2017
"An Algorithm For Quantifying Accelerometry Data In Ice Hockey: Identifying A Reliable G-force Profile","McHugh, MP; Kwiecien, SY; Villella, J; McHugh, D; Nicholas, SJ","Y","MEDICINE & SCIENCE IN SPORTS & EXERCISE","Research",2023
"Predicting the NHL playoffs with PageRank","Swanson, N; Koban, D; Brundage, P","Y","JOURNAL OF QUANTITATIVE ANALYSIS IN SPORTS","Research",2017
"SIMEON POISSON AND THE NATIONAL HOCKEY LEAGUE","SIMONOFF, J","Y","AMERICAN STATISTICIAN","Research",1979
"HOW OFTEN DOES THE BEST TEAM WIN? A UNIFIED APPROACH TO UNDERSTANDING RANDOMNESS IN NORTH AMERICAN SPORT","Lopez, MJ; Matthews, GJ; Baumer, BS","Y","ANNALS OF APPLIED STATISTICS","Research",2018
"Overtime or Shootout: Deciding Ties in Hockey","Hurley, W","Y","ANTHOLOGY OF STATISTICS IN SPORTS","Research",2005
"Hockey Player Performance via Regularized Logistic Regression","Gramacy, RB; Taddy, M; Tian, S","Y","HANDBOOK OF STATISTICAL METHODS AND ANALYSES IN SPORTS","Research",2017
"Expressions of 'a complex' in sport analytics","Lebed, F","Y","COMPLEX SPORT ANALYTICS","Research",2017
"Let's Pick Him!: Ratings of Skill Level on the Basis of In-Game Playing Behaviour in Bantam League Junior Ice Hockey","Tromp, EJY; Pepping, GJ; Lyons, J; Elferink-Gemser, MT; Visscher, C","Y","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING","Research",2013
"Regressing Team Performance on Collective Efficacy: Considerations of Temporal Proximity and Concordance","Myers, ND; Paiement, CA; Feltz, DL","Y","MEASUREMENT IN PHYSICAL EDUCATION AND EXERCISE SCIENCE","Research",2007
"Developing Predictive Athletic Performance Models for Informative Training Regimens","Blanchfield, JE; Hargroves, MT; Keith, PJ; Lansing, MC; Nordin, LH; Palmer, RC; St Louis, SE; Will, AJ; Scherer, WT; Napoli, NJ","Y","2019 SYSTEMS AND INFORMATION ENGINEERING DESIGN SYMPOSIUM (SIEDS)","Research",2019
"Do NHL goalies get hot in the playoffs? A multilevel logistic regression analysis","Ding, LK; Cribben, I; Ingolfsson, A; Tran, M","Y","JOURNAL OF SPORTS ANALYTICS","Research",2025
"Country of Origin Effects on the Average Annual Values of NHL Player Contracts","Fenn, AJ; Gerdes, L; Rothstein, S","Y","INTERNATIONAL JOURNAL OF FINANCIAL STUDIES","Research",2019
"Investigating the multivariate nature of NHL player performance with structural equation modeling","Riley, SN","Y","PLOS ONE","Research",2017
"Conditional probability and the length of a championship series in baseball, basketball, and hockey","Chance, D","Y","JOURNAL OF SPORTS ANALYTICS","Research",2020
"Scoring dynamics across professional team sports: tempo, balance and predictability","Merritt, S; Clauset, A","Y","EPJ DATA SCIENCE","Research",2014
"Towards long-term player tracking with graph hierarchies and domain-specific features","Koshkina, M; Elder, JH","Y","2025 IEEE/CVF WINTER CONFERENCE ON APPLICATIONS OF COMPUTER VISION WORKSHOPS, WACVW","Research",2025
"Inverse Reinforcement Learning for Team Sports: Valuing Actions and Players","Luo, YD; Schulte, O; Poupart, P","Y","PROCEEDINGS OF THE TWENTY-NINTH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE","Research",2020
"Spatio-Temporal Analysis of Team Sports","Gudmundsson, J; Horton, M","Y","ACM COMPUTING SURVEYS","Research",2017
"Black Uniforms and Aggression in Professional Sports: Failure to Replicate Frank and Gilovich (1988) With Original and Expanded NFL and NHL Data","Goldschmied, N; Raphaeli, M; Furley, P","Y","COLLABRA-PSYCHOLOGY","Research",2026
"Is the overtime period in an NHL game long enough? An example for teaching estimation and hypothesis testing in the presence of censored data","Brimberg, J; Hurley, WJ","Y","AMERICAN STATISTICIAN","Research",2008
"Ups and Downs: Team Performance in Best-of-Seven Playoff Series","Swartz, TB; Tennakoon, A; Nathoo, F; Tsao, M; Sarohia, P","Y","JOURNAL OF QUANTITATIVE ANALYSIS IN SPORTS","Research",2011
"Born at the Wrong Time: Selection Bias in the NHL Draft","Deaner, RO; Lowen, A; Cobley, S","Y","PLOS ONE","Research",2013
"Riding a probabilistic support vector machine to the Stanley Cup","Demers, S","Y","JOURNAL OF QUANTITATIVE ANALYSIS IN SPORTS","Research",2015
"Event detection in field sports video using audio-visual features and a support vector machine","Sadlier, DA; O'Connor, NE","Y","IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY","Research",2005
"Tooth for a tooth: Does fighting serve as a deterrent to greater violence in the modern NHL","Betz, MR","Y","PLOS ONE","Research",2022
"The Effect of Blade Alignment on Kinematics and Plantar Pressure during the Execution of Goaltender-Specific Movement Patterns: A Case Study","Dunne, C; Holmes, M; Lockwood, K","Y","SPORTS","Research",2022
